,anio,codigo_municipio,municipio,codigo_departamento,departamento,codigo_etc,etc,poblacion_5_16,tasa_matriculacion_5_16,cobertura_neta,cobertura_neta_primaria,cobertura_neta_secundaria,cobertura_neta_media,cobertura_bruta,cobertura_bruta_primaria,cobertura_bruta_secundaria,cobertura_bruta_media,desercion,desercion_primaria,desercion_secundaria,desercion_media,aprobacion,aprobacion_primaria,aprobacion_secundaria,aprobacion_media,reprobacion,reprobacion_primaria,reprobacion_secundaria,reprobacion_media,repitencia,repitencia_primaria,repitencia_secundaria,repitencia_media
8761,2017,68397,La Paz,68,Santander,3808.0,Santander (ETC),978.0,74.1,74.13,67.54,72.12,53.46,79.24,77.8,90.71,76.73,2.91,2.76,2.57,4.39,94.58,94.79,95.22,91.23,2.51,2.45,2.21,4.39,2.12,1.84,1.84,4.39
8762,2017,68406,Lebríja,68,Santander,3808.0,Santander (ETC),8523.0,90.2,90.19,86.27,83.69,45.45,100.68,101.06,112.24,81.89,3.32,2.55,4.44,2.89,93.92,96.3,91.28,91.71,2.76,1.16,4.28,5.4,0.36,0.17,0.65,0.38
8763,2017,68418,Los Santos,68,Santander,3808.0,Santander (ETC),2524.0,97.8,97.82,95.66,93.21,55.66,109.67,110.67,129.01,89.38,2.11,0.94,3.79,2.17,96.17,98.38,92.53,96.9,1.72,0.68,3.68,0.93,0.94,0.51,1.45,1.24
8764,2017,68425,Macaravita,68,Santander,3808.0,Santander (ETC),408.0,106.6,106.62,89.02,110.0,79.41,122.79,100.58,161.54,127.94,1.37,0.57,1.2,2.94,92.26,95.98,86.83,94.12,6.38,3.45,11.98,2.94,1.14,0.57,2.4,1.72
8765,2017,68432,Málaga,68,Santander,3808.0,Santander (ETC),3432.0,121.4,121.33,106.43,116.22,80.81,142.37,120.34,175.59,157.41,1.84,0.93,2.28,2.96,84.78,91.99,77.06,80.99,13.38,7.08,20.66,16.06,0.3,0.06,0.48,0.56
8766,2017,68444,Matanza,68,Santander,3808.0,Santander (ETC),1040.0,115.5,115.48,115.09,101.78,60.0,130.67,130.18,147.63,101.21,2.31,1.25,3.91,2.19,94.15,96.06,89.73,96.35,3.54,2.69,6.36,1.46,2.4,2.26,3.41,1.72
8767,2017,68464,Mogotes,68,Santander,3808.0,Santander (ETC),2424.0,88.9,88.86,86.55,79.66,47.38,99.22,100.66,110.75,82.09,2.4,1.87,3.42,0.82,92.4,92.34,90.55,95.9,5.2,5.79,6.03,3.28,0.86,1.78,3.41,1.72
8768,2017,68468,Molagavita,68,Santander,3808.0,Santander (ETC),979.0,71.3,71.3,65.93,73.03,48.33,78.04,74.32,95.07,69.44,0.28,0.33,0.39,2.97,92.91,97.34,83.59,100.0,6.81,2.33,16.02,4.24,0.57,0.33,1.17,1.72
8769,2017,68498,Ocamonte,68,Santander,3808.0,Santander (ETC),963.0,83.4,83.39,87.23,82.86,38.1,88.47,96.14,98.1,51.7,1.45,0.75,2.03,4.48,91.68,95.74,83.39,95.52,6.88,3.51,14.58,4.24,2.05,2.51,2.37,1.72
8770,2017,68500,Oiba,68,Santander,3808.0,Santander (ETC),2755.0,73.8,73.79,64.03,76.48,63.68,83.05,72.27,96.86,99.03,1.1,1.15,0.98,0.87,96.0,97.35,93.9,96.79,2.89,1.5,5.12,2.33,0.83,1.04,0.85,0.58
8771,2017,68502,Onzaga,68,Santander,3808.0,Santander (ETC),1128.0,57.6,57.62,54.21,51.77,39.53,64.18,61.4,69.21,63.37,0.16,2.37,0.48,2.97,94.06,97.66,88.41,91.67,5.78,2.34,11.11,8.33,4.69,6.02,5.31,1.72
8772,2017,68522,Palmar,68,Santander,3808.0,Santander (ETC),668.0,39.2,39.22,33.22,41.98,29.09,42.51,39.16,51.42,48.18,2.94,1.79,5.5,2.97,86.76,91.07,82.57,82.93,10.29,7.14,11.93,17.07,0.74,0.89,0.92,1.72
8773,2017,68524,Palmas del Socorro,68,Santander,3808.0,Santander (ETC),432.0,106.5,106.48,106.99,94.12,60.56,119.21,123.66,125.74,92.96,2.65,1.74,4.58,2.97,97.35,98.26,95.42,100.0,5.15,4.43,7.98,4.24,2.4,2.26,3.41,1.72
8774,2017,68533,Páramo,68,Santander,3808.0,Santander (ETC),1021.0,80.5,80.51,80.36,75.23,44.23,92.46,89.84,108.46,85.9,3.44,1.76,6.06,3.13,79.27,87.94,68.35,67.71,17.3,10.3,25.59,29.17,2.4,2.26,3.41,1.72
8775,2017,68547,Piedecuesta,68,Santander,4700.0,Piedecuesta,29793.0,98.7,98.61,98.25,88.8,52.09,108.47,111.1,118.01,88.83,3.4,2.4,4.5,3.18,89.52,93.92,83.48,88.79,7.07,3.68,12.02,8.02,1.67,1.04,2.9,0.96
8776,2017,68549,Pinchote,68,Santander,3808.0,Santander (ETC),1090.0,62.3,62.29,58.44,59.27,47.46,72.48,68.83,85.11,72.32,2.4,1.57,4.17,1.83,89.55,91.82,82.08,95.41,8.05,6.6,13.75,2.75,1.41,1.89,1.67,1.72
8777,2017,68572,Puente Nacional,68,Santander,3808.0,Santander (ETC),2376.0,132.4,132.37,94.99,158.4,119.06,148.44,108.09,198.56,202.76,2.68,1.43,3.08,3.54,94.32,96.97,92.07,94.52,3.0,1.6,4.85,1.93,1.84,0.98,3.01,1.13
8778,2017,68573,Puerto Parra,68,Santander,3808.0,Santander (ETC),2026.0,73.7,73.69,75.26,57.56,24.78,84.6,93.84,94.6,45.37,6.45,5.2,9.01,6.45,86.77,88.0,81.34,90.32,6.77,6.81,9.64,3.23,2.4,2.26,3.41,1.72
8779,2017,68575,Puerto Wilches,68,Santander,3808.0,Santander (ETC),7349.0,101.8,101.81,101.14,81.8,33.83,114.83,131.09,120.48,67.83,3.81,2.89,5.23,3.59,87.37,89.19,82.15,87.58,8.82,7.92,12.62,8.82,3.77,4.36,4.51,0.49
8780,2017,68615,Rionegro,68,Santander,3808.0,Santander (ETC),5761.0,90.2,90.19,88.03,80.13,41.44,99.24,110.13,102.52,69.34,3.74,2.83,4.55,3.72,92.05,93.1,89.99,92.21,4.2,4.07,5.46,4.07,0.89,0.87,1.02,0.35
8781,2017,68655,Sabana de Torres,68,Santander,3808.0,Santander (ETC),3781.0,185.8,185.43,188.1,150.08,67.95,207.19,230.9,217.73,133.17,5.05,4.95,4.6,4.01,87.5,89.5,81.91,92.51,7.45,5.56,13.5,3.48,0.2,0.12,0.38,0.17
8782,2017,68669,San Andrés,68,Santander,3808.0,Santander (ETC),1472.0,109.6,109.65,96.82,103.82,82.92,124.86,110.02,145.44,142.5,1.52,0.29,2.74,2.37,87.55,93.21,81.82,81.82,10.93,6.5,15.44,15.81,0.36,0.29,0.34,0.79
8783,2017,68673,San Benito,68,Santander,3808.0,Santander (ETC),826.0,54.8,54.84,55.06,48.66,34.09,60.77,61.24,69.73,48.48,0.43,2.37,0.67,2.97,93.33,97.71,87.25,91.67,6.24,2.29,12.08,8.33,1.94,1.83,2.68,1.72
8784,2017,68679,San Gil,68,Santander,3808.0,Santander (ETC),7855.0,149.4,149.2,140.5,143.65,98.84,177.58,157.74,185.55,230.59,2.29,1.49,2.68,2.28,92.37,94.98,89.13,91.92,5.34,3.53,8.19,5.81,0.66,0.76,0.76,0.39
8785,2017,68682,San Joaquín,68,Santander,3808.0,Santander (ETC),445.0,96.0,95.96,95.29,93.48,28.0,102.7,106.28,125.36,52.0,2.34,0.99,3.16,2.97,87.12,92.61,78.48,87.5,10.54,6.4,18.35,12.5,2.4,2.26,3.41,1.72
8786,2017,68684,San José de Miranda,68,Santander,3808.0,Santander (ETC),882.0,69.8,69.84,69.92,66.79,22.92,82.43,81.0,97.83,65.28,2.58,1.63,2.54,6.45,85.3,93.49,73.31,80.65,12.12,4.89,24.15,12.9,3.03,2.26,7.2,4.84
8787,2017,68686,San Miguel,68,Santander,3808.0,Santander (ETC),433.0,102.5,102.54,82.16,109.09,56.0,121.48,98.92,170.45,121.33,1.07,1.09,1.6,2.97,93.56,97.27,86.7,100.0,5.36,1.64,11.7,4.24,3.86,3.28,6.38,1.72
8788,2017,68689,San Vicente de Chucurí,68,Santander,3808.0,Santander (ETC),7611.0,78.1,78.1,73.61,67.84,44.0,87.85,88.18,97.0,75.6,3.66,1.84,5.57,4.51,90.55,92.4,88.11,88.86,5.79,5.76,6.32,6.63,1.06,1.08,1.27,0.66
8789,2017,68705,Santa Bárbara,68,Santander,3808.0,Santander (ETC),430.0,89.3,89.3,83.51,82.22,55.22,100.7,97.34,108.15,107.46,3.75,1.64,6.82,1.89,91.75,95.63,85.61,98.11,4.5,2.73,7.58,4.24,0.75,0.55,1.52,1.72
8790,2017,68720,Santa Helena del Opón,68,Santander,3808.0,Santander (ETC),1015.0,70.0,69.95,72.56,66.03,21.14,80.39,88.37,94.29,48.57,1.78,1.05,1.62,4.17,95.75,96.05,95.55,95.83,2.47,2.89,2.83,4.24,1.23,1.32,1.62,1.72
8791,2017,68745,Simacota,68,Santander,3808.0,Santander (ETC),1647.0,102.3,102.31,99.44,95.38,34.09,121.74,123.03,157.23,65.91,2.4,2.17,3.09,2.97,96.46,96.8,95.28,99.17,1.14,1.03,1.63,0.83,1.43,1.03,2.28,1.67
8792,2017,68755,Socorro,68,Santander,3808.0,Santander (ETC),5828.0,95.8,95.66,95.42,88.64,53.14,110.04,109.37,125.6,90.26,2.35,2.73,2.12,1.47,91.56,93.69,88.39,91.9,6.09,3.58,9.49,6.63,0.67,0.21,1.51,1.72
8793,2017,68770,Suaita,68,Santander,3808.0,Santander (ETC),1934.0,99.3,99.28,97.83,92.22,56.27,109.57,110.83,123.99,99.04,2.04,1.52,1.99,3.07,92.53,93.05,90.03,95.79,5.43,5.43,7.98,1.15,1.84,1.52,2.42,1.53
8794,2017,68773,Sucre,68,Santander,3808.0,Santander (ETC),1806.0,75.5,75.47,71.8,68.11,40.41,84.44,87.32,89.95,70.55,1.51,1.19,1.71,2.15,91.2,94.67,85.47,89.25,7.29,4.15,12.82,8.6,0.28,2.26,0.85,1.72
8795,2017,68780,Suratá,68,Santander,3808.0,Santander (ETC),603.0,106.1,106.14,111.33,80.51,43.88,119.24,133.98,120.0,90.82,2.08,1.75,3.5,1.32,90.18,95.34,81.0,88.16,7.74,2.92,15.5,10.53,2.68,2.92,4.0,1.72
8796,2017,68820,Tona,68,Santander,3808.0,Santander (ETC),1463.0,84.2,84.14,83.93,77.75,45.56,92.41,98.52,97.92,66.53,2.15,2.79,2.13,0.68,93.54,94.77,90.05,94.59,4.31,2.44,7.82,4.73,0.08,2.26,0.24,1.72
8797,2017,68855,Valle de San José,68,Santander,3808.0,Santander (ETC),865.0,117.3,117.34,118.54,117.22,62.26,126.82,130.9,150.55,84.91,2.22,1.15,3.06,3.39,90.8,91.92,86.07,96.61,6.98,6.93,10.86,4.24,1.72,2.31,1.11,1.72
8798,2017,68861,Vélez,68,Santander,3808.0,Santander (ETC),4345.0,79.1,79.13,70.18,73.94,55.07,92.22,84.14,105.31,99.86,2.38,1.76,3.17,2.17,90.14,95.26,85.17,85.57,7.48,2.98,11.67,12.25,1.92,1.83,3.17,1.72
8799,2017,68867,Vetas,68,Santander,3808.0,Santander (ETC),576.0,55.6,55.56,53.06,49.47,43.48,61.46,60.0,62.77,63.04,0.3,0.68,4.085,2.97,91.32,93.2,86.49,91.11,8.38,6.12,13.51,8.89,2.4,2.26,3.41,1.72
8800,2017,68872,Villanueva,68,Santander,3808.0,Santander (ETC),967.0,117.3,116.96,113.9,116.09,72.89,134.33,127.79,162.78,110.24,3.05,1.61,3.07,5.67,89.7,92.15,88.65,82.27,7.24,6.24,8.27,12.06,0.87,0.4,1.42,1.42
8801,2017,70001,Sincelejo,70,Sucre,3814.0,Sincelejo,60179.0,98.5,98.37,98.41,81.0,48.86,111.53,119.15,113.08,92.18,2.39,2.02,2.89,2.05,87.57,89.2,82.94,89.27,10.05,8.78,14.17,8.68,0.87,0.78,1.29,0.41
8802,2017,70110,Buenavista,70,Sucre,3813.0,Sucre (ETC),2284.0,91.2,91.11,89.19,72.66,42.15,104.07,114.66,105.47,80.99,5.07,3.35,8.1,3.18,81.17,82.64,76.25,82.27,13.77,14.01,15.65,14.55,4.83,4.16,6.75,4.55
8803,2017,70124,Caimito,70,Sucre,3813.0,Sucre (ETC),2841.0,103.9,103.91,101.01,83.04,36.46,117.49,132.52,125.11,68.75,2.37,2.13,2.94,2.42,85.76,85.7,81.43,89.97,11.87,12.18,15.63,7.61,0.34,0.52,0.28,1.72
8804,2017,70204,Colosó,70,Sucre,3813.0,Sucre (ETC),1293.0,129.4,129.39,120.74,115.62,47.91,149.57,161.11,170.63,85.12,0.91,0.49,1.55,2.97,82.43,82.64,75.27,98.62,16.66,16.87,23.18,1.38,0.51,0.12,1.24,1.72
